course,book_id,topic,bookclub,chat_crew,pseudonym,message,time,is_answer,page,response_number,Discussion,Dialogic Spell,Uptake,Question,Pivot
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-01,Hello. ,2020-10-20 17:06:00,False,10,3.1,Social,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-01,My assumption is,2020-10-20 17:06:00,False,10,3.1,Seminar,1,None,None,from Social/Procedure/UX to Seminar
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-01,that the emphasis on barbarism implies that she sent him to the lion.,2020-10-20 17:06:00,False,10,3.1,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-03,I agree with Cassandra's noticing ,2020-10-27 17:58:00,False,10,3.1,Seminar,1,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-03,of the author's word choice of barbarism.,2020-10-27 17:58:00,False,10,3.1,Seminar,1,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-02,I loved the addition of ,2020-10-28 20:23:00,False,9,3.1,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-02,"Her lover would die and never love another."" ",2020-10-28 20:23:00,False,9,3.1,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-02," Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion.""",2020-10-28 20:23:00,False,9,3.1,Seminar,1,None,None,from Seminar to Social/Procedure/UX
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",1,True,pim-03,Submitted,2020-11-11 12:59:00,False,8,3.1,Procedure,None,None,None,from Social/Procedure/UX to Seminar
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. ",2020-10-20 09:24:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",2020-10-20 09:24:00,False,10,3.2,Seminar,1,None,C-HOT,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",2020-10-20 09:24:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",2020-10-20 09:24:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,mor,2020-10-20 09:24:00,False,10,3.2,Other,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"more upset with the prospect of him belonging to another, and so it is clear,",2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"given the two terrible choices,",2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,she would send him to his death.,2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right,2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,he would have to send his daughter to the arena for a judgement. ,2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"I would imagine,",2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"However, I also do not",2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,ima,2020-10-20 09:25:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,imagine this to be the catalyst that ends his idea of public punishment. ,2020-10-20 09:26:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.",2020-10-20 09:26:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06, It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.,2020-10-20 09:26:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",2020-10-20 09:26:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,I agree with Ashely ,2020-10-20 14:20:00,False,10,3.2,Seminar,1,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04, that the Princess's barbaric traits will lead the princess to send her lover to his death.,2020-10-20 14:20:00,False,10,3.2,Seminar,1,Elaborate,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",2020-10-20 14:20:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,2020-10-20 14:20:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,I also agree with Ashley,2020-10-20 14:20:00,False,10,3.2,Seminar,1,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,that the king's adoration of his daughter would stop him from sending his daughter into the arena.,2020-10-20 14:20:00,False,10,3.2,Seminar,1,Elaborate,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",2020-10-20 14:20:00,False,10,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"If the secret was shared with the community, I also think that it would be her informant that would be punished.", ,True,<NA>,3.2,Seminar,1,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,I had not considered Ashley's idea that this experience might be an , ,True,<NA>,3.2,Seminar,1,Filler,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,opportun,2020-10-20 14:20:00,False,10,3.2,Seminar,1,Filler,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,I had not considered Ashley's idea that this experience might be an opportunity for the king to re-examine the practice.,2020-10-20 14:21:00,False,10,3.2,Seminar,1,Filler,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04, I like this idea!,2020-10-20 14:21:00,False,10,3.2,Seminar,1,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",2020-10-21 09:17:00,False,10,3.2,Deliberation,2,None,None,from Seminar to Deliberation
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,2020-10-21 09:17:00,False,10,3.2,UX,2,None,C-LOT,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,I'm overall a little confused by this entire module ,2020-10-21 09:17:00,False,10,3.2,Deliberation,2,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,and am open to other thoughts/suggestions.,2020-10-21 09:17:00,False,10,3.2,Deliberation,2,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"I think you are correct, Ashley. ",2020-10-21 11:31:00,False,10,3.2,Deliberation,2,Affirm,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",2020-10-21 11:31:00,False,10,3.2,UX,2,Filler,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",2020-10-21 11:31:00,False,10,3.2,Deliberation,2,None,None,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-04,What were your thoughts?,2020-10-21 11:31:00,False,10,3.2,Deliberation,2,Clarify,O-HOT,None
PIM P1,260,"Part 1: What happens next? What is behind the door, the lady or the tiger?  Part 2: Later, the King discovers that his daughter has broken the law.  How does the King respond? What happens?",2,True,pim-06,"That sounds great, Meg! ",2020-10-21 13:34:00,False,10,3.2,Social,2,Affirm,None,from Deliberation to Social/Procedure/UX
